condition,layer,roc_auc,roc_auc_ci_lo,roc_auc_ci_hi,n_samples,pct_correct
base_native,0,0.5029034635808285,0.4420486777621571,0.5637582493994998,500,0.816
base_native,1,0.6047556191949612,0.49658220809484677,0.7129290302950757,500,0.816
base_native,2,0.6899590511502993,0.5729233793583605,0.8069947229422382,500,0.816
base_native,3,0.6477670444886849,0.5662808460207784,0.7292532429565914,500,0.816
base_native,4,0.6875305004163985,0.5668837133042225,0.8081772875285745,500,0.816
base_native,5,0.7060070566131766,0.5755354490838579,0.8364786641424954,500,0.816
base_native,6,0.7147068639748099,0.6103251215970938,0.8190886063525259,500,0.816
base_native,7,0.7006576067466044,0.5800240862182047,0.8212911272750041,500,0.816
base_native,8,0.7013258839923792,0.5785014525555626,0.8241503154291957,500,0.816
base_native,9,0.696298000726157,0.6078195754319302,0.7847764260203838,500,0.816
base_native,10,0.6789170729510274,0.5675087609732722,0.7903253849287827,500,0.816
base_native,11,0.6839058949116216,0.5945273276841943,0.7732844621390489,500,0.816
base_native,12,0.6729733306264719,0.5433035416094841,0.8026431196434597,500,0.816
base_native,13,0.6634240222240324,0.5385330947508346,0.7883149496972303,500,0.816
base_native,14,0.7094561249818482,0.5805659865502688,0.8383462634134276,500,0.816
base_native,15,0.7312597129745702,0.5930741327751782,0.8694452931739621,500,0.816
base_native,16,0.7383120894179098,0.6274232968880298,0.8492008819477899,500,0.816
base_native,17,0.7121841473366841,0.6031883454734845,0.8211799491998837,500,0.816
base_native,18,0.7194210185204014,0.6229585150059762,0.8158835220348266,500,0.816
base_native,19,0.7199950125145314,0.6116152637579887,0.828374761271074,500,0.816
base_native,20,0.719989602869465,0.6224704733974019,0.8175087323415281,500,0.816
base_native,21,0.7376014201851854,0.621926277872842,0.8532765624975287,500,0.816
base_native,22,0.7009488359864139,0.5900748332880876,0.8118228386847401,500,0.816
base_native,23,0.6987081720687817,0.5746283466362323,0.822787997501331,500,0.816
base_native,24,0.7036896217312988,0.5669387399719364,0.8404405034906611,500,0.816
base_native,25,0.7070095767267552,0.6114405115775338,0.8025786418759767,500,0.816
base_native,26,0.7075435294350474,0.5914459653587874,0.8236410935113074,500,0.816
base_native,27,0.721092377085185,0.5773211457014034,0.8648636084689667,500,0.816
base_native,28,0.6871742620876653,0.5321087260055968,0.8422397981697338,500,0.816
base_on_distilled_text,0,0.5112752939786059,0.48443784274990775,0.5381127452073041,500,0.648
base_on_distilled_text,1,0.6690246776094936,0.5266046546677057,0.8114447005512815,500,0.648
base_on_distilled_text,2,0.7030825575931694,0.6109884328710219,0.7951766823153169,500,0.648
base_on_distilled_text,3,0.7079450997420149,0.596744815414931,0.8191453840690989,500,0.648
base_on_distilled_text,4,0.7190211660808903,0.6172514499951847,0.8207908821665959,500,0.648
base_on_distilled_text,5,0.7042046112195975,0.6060767874995666,0.8023324349396285,500,0.648
base_on_distilled_text,6,0.6948354434761926,0.5662674032287356,0.8234034837236497,500,0.648
base_on_distilled_text,7,0.6784968017497759,0.5665427271151084,0.7904508763844433,500,0.648
base_on_distilled_text,8,0.6883053546843132,0.592295346604853,0.7843153627637734,500,0.648
base_on_distilled_text,9,0.7230215453277564,0.612189029527227,0.8338540611282859,500,0.648
base_on_distilled_text,10,0.7448575744840473,0.6310220348915431,0.8586931140765516,500,0.648
base_on_distilled_text,11,0.7405913302266343,0.6066768761997366,0.8745057842535319,500,0.648
base_on_distilled_text,12,0.7440932405627609,0.6430910719590699,0.845095409166452,500,0.648
base_on_distilled_text,13,0.7401694297388299,0.6314185631193436,0.8489202963583162,500,0.648
base_on_distilled_text,14,0.7403756679291179,0.6420683312711517,0.8386830045870841,500,0.648
base_on_distilled_text,15,0.7283397564235099,0.6373019521100223,0.8193775607369975,500,0.648
base_on_distilled_text,16,0.732895890981836,0.6332805871692223,0.8325111947944498,500,0.648
base_on_distilled_text,17,0.740829354345198,0.6447717786920628,0.8368869299983333,500,0.648
base_on_distilled_text,18,0.7410718732942085,0.6433070006937344,0.8388367458946827,500,0.648
base_on_distilled_text,19,0.7553776400376309,0.6743215476460345,0.8364337324292273,500,0.648
base_on_distilled_text,20,0.7487132602220721,0.6467540382516489,0.8506724821924952,500,0.648
base_on_distilled_text,21,0.7474222914114546,0.6313932578964092,0.8634513249264999,500,0.648
base_on_distilled_text,22,0.7370201526703194,0.6161474206091355,0.8578928847315033,500,0.648
base_on_distilled_text,23,0.7365205659104788,0.6082487741568636,0.8647923576640939,500,0.648
base_on_distilled_text,24,0.7374326331055425,0.6027856160343482,0.8720796501767368,500,0.648
base_on_distilled_text,25,0.7369020765098894,0.6008667786061361,0.8729373744136426,500,0.648
base_on_distilled_text,26,0.7249683181052626,0.592941354079743,0.8569952821307822,500,0.648
base_on_distilled_text,27,0.7342088997667997,0.6005067272890743,0.8679110722445251,500,0.648
base_on_distilled_text,28,0.7231935951323566,0.5871702599444342,0.859216930320279,500,0.648
