model,layer,C,roc_auc,num_nonzero,sparsity_ratio
base,0,0.1,0.4992410496196525,37,0.024088541666666668
distilled,0,0.1,0.5103548747295694,43,0.027994791666666668
base,1,0.1,0.7618814990578546,245,0.15950520833333334
distilled,1,0.1,0.7573801381813106,254,0.16536458333333334
base,2,0.1,0.7949263730895386,272,0.17708333333333334
distilled,2,0.1,0.7945076418452091,268,0.17447916666666666
base,3,0.1,0.8077151231767744,266,0.17317708333333334
distilled,3,0.1,0.8059878567939145,284,0.18489583333333334
base,4,0.1,0.7999511480214949,255,0.166015625
distilled,4,0.1,0.8190208667736758,292,0.19010416666666666
base,5,0.1,0.8058482797124712,237,0.154296875
distilled,5,0.1,0.8121815897829576,290,0.18880208333333334
base,6,0.1,0.8031614208946891,263,0.17122395833333334
distilled,6,0.1,0.8058308325772908,288,0.1875
base,7,0.1,0.7967059808779399,252,0.1640625
distilled,7,0.1,0.8016609672691744,275,0.17903645833333334
base,8,0.1,0.8212017586712262,249,0.162109375
distilled,8,0.1,0.8164735850373369,280,0.18229166666666666
base,9,0.1,0.8247260799776677,243,0.158203125
distilled,9,0.1,0.8298555377207062,281,0.18294270833333334
base,10,0.1,0.8229639193244469,264,0.171875
distilled,10,0.1,0.826941866145579,288,0.1875
base,11,0.1,0.8277269872286971,260,0.16927083333333334
distilled,11,0.1,0.8429234419708284,291,0.189453125
base,12,0.1,0.8270116546863006,262,0.17057291666666666
distilled,12,0.1,0.8305534231279224,298,0.19401041666666666
base,13,0.1,0.8284423197710936,239,0.15559895833333334
distilled,13,0.1,0.8463081861958266,321,0.208984375
base,14,0.1,0.8315653569683857,263,0.17122395833333334
distilled,14,0.1,0.8277444343638775,285,0.185546875
base,15,0.1,0.8320538767534371,251,0.16341145833333334
distilled,15,0.1,0.8358747993579454,292,0.19010416666666666
base,16,0.1,0.8492916463116755,271,0.17643229166666666
distilled,16,0.1,0.8564973131411823,291,0.189453125
base,17,0.1,0.8541768441621885,256,0.16666666666666666
distilled,17,0.1,0.8425396049968596,285,0.185546875
base,18,0.1,0.8402016888826854,232,0.15104166666666666
distilled,18,0.1,0.8426966292134832,277,0.18033854166666666
base,19,0.1,0.8331879405401633,224,0.14583333333333334
distilled,19,0.1,0.8442668713797195,257,0.16731770833333334
base,20,0.1,0.8241328773815338,219,0.142578125
distilled,20,0.1,0.8389629422848768,247,0.16080729166666666
base,21,0.1,0.8153395212506106,208,0.13541666666666666
distilled,21,0.1,0.8417893781841022,255,0.166015625
base,22,0.1,0.8138041733547352,191,0.12434895833333333
distilled,22,0.1,0.8493788819875776,242,0.15755208333333334
base,23,0.1,0.8258078023588526,213,0.138671875
distilled,23,0.1,0.8443541070556214,231,0.150390625
base,24,0.1,0.813367994975225,204,0.1328125
distilled,24,0.1,0.8470933072789448,240,0.15625
base,25,0.1,0.812844580919813,208,0.13541666666666666
distilled,25,0.1,0.8457149835996929,244,0.15885416666666666
base,26,0.1,0.8173808360667179,219,0.142578125
distilled,26,0.1,0.8449124153813944,251,0.16341145833333334
base,27,0.1,0.8075406518249704,231,0.150390625
distilled,27,0.1,0.8355781980598785,283,0.18424479166666666
base,28,0.1,0.7925535627050038,244,0.15885416666666666
distilled,28,0.1,0.8346186056249564,272,0.17708333333333334
